alpha,J1,J2
2.000000e-02,4.740149e-02,2.322673e+00
3.000000e-02,6.417048e-02,2.074845e+00
4.000000e-02,7.964981e-02,1.911595e+00
5.000000e-02,9.413123e-02,1.788493e+00
1.000000e-01,1.560994e-01,1.404895e+00
1.500000e-01,2.067423e-01,1.171540e+00
2.000000e-01,2.499318e-01,9.997273e-01
2.500000e-01,2.876170e-01,8.628510e-01
3.000000e-01,3.209972e-01,7.489934e-01
3.500000e-01,3.508896e-01,6.516521e-01
4.000000e-01,3.778871e-01,5.668307e-01
4.500000e-01,4.024385e-01,4.918693e-01
5.000000e-01,4.248941e-01,4.248941e-01
5.500000e-01,4.455338e-01,3.645276e-01
6.000000e-01,4.645855e-01,3.097237e-01
6.500000e-01,4.822378e-01,2.596665e-01
7.000000e-01,4.986482e-01,2.137064e-01
7.500000e-01,5.139503e-01,1.713168e-01
8.000000e-01,5.282580e-01,1.320645e-01
8.500000e-01,5.416692e-01,9.558868e-02
9.000000e-01,5.542689e-01,6.158543e-02
9.500000e-01,5.661313e-01,2.979639e-02
9.600000e-01,5.684212e-01,2.368422e-02
9.700000e-01,5.706847e-01,1.765004e-02
9.800000e-01,5.729222e-01,1.169229e-02
