alpha,J1,J2,theta_1,theta_2,tticks
2.000000e-02,4.740149e-02,2.322673e+00,-4.824232e+01,-9.557125e-01,0.000000e+00
2.000000e-02,4.740149e-02,2.322673e+00,-4.778886e+01,-1.415768e+00,1.000000e-02
2.000000e-02,4.740149e-02,2.322673e+00,-4.718698e+01,-1.858378e+00,2.000000e-02
2.000000e-02,4.740149e-02,2.322673e+00,-4.646582e+01,-2.280859e+00,3.000000e-02
2.000000e-02,4.740149e-02,2.322673e+00,-4.565229e+01,-2.681563e+00,4.000000e-02
2.000000e-02,4.740149e-02,2.322673e+00,-4.477036e+01,-3.059701e+00,5.000000e-02
2.000000e-02,4.740149e-02,2.322673e+00,-4.384069e+01,-3.415158e+00,6.000000e-02
2.000000e-02,4.740149e-02,2.322673e+00,-4.288067e+01,-3.748320e+00,7.000000e-02
2.000000e-02,4.740149e-02,2.322673e+00,-4.190461e+01,-4.059931e+00,8.000000e-02
2.000000e-02,4.740149e-02,2.322673e+00,-4.092403e+01,-4.350968e+00,9.000000e-02
2.000000e-02,4.740149e-02,2.322673e+00,-3.994804e+01,-4.622553e+00,1.000000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.898370e+01,-4.875876e+00,1.100000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.803637e+01,-5.112146e+00,1.200000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.711000e+01,-5.332558e+00,1.300000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.620740e+01,-5.538261e+00,1.400000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.533049e+01,-5.730349e+00,1.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.470442e+01,-5.871955e+00,1.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.432950e+01,-5.967441e+00,1.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.397611e+01,-6.057325e+00,1.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.364162e+01,-6.142337e+00,1.900000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.332381e+01,-6.223083e+00,2.000000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.302077e+01,-6.300081e+00,2.100000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.273087e+01,-6.373771e+00,2.200000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.245268e+01,-6.444530e+00,2.300000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.218495e+01,-6.512691e+00,2.400000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.225150e+01,-6.528711e+00,2.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.244477e+01,-6.524186e+00,2.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.250703e+01,-6.539143e+00,2.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.246578e+01,-6.569584e+00,2.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.234278e+01,-6.612172e+00,2.900000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.215537e+01,-6.664156e+00,3.000000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.191740e+01,-6.723285e+00,3.100000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.164003e+01,-6.787731e+00,3.200000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.133228e+01,-6.856018e+00,3.300000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.100147e+01,-6.926960e+00,3.400000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.065358e+01,-6.999608e+00,3.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.029352e+01,-7.073209e+00,3.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.992529e+01,-7.147169e+00,3.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.955220e+01,-7.221025e+00,3.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.917698e+01,-7.294416e+00,3.900000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.880185e+01,-7.367071e+00,4.000000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.842865e+01,-7.438786e+00,4.100000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.805892e+01,-7.509417e+00,4.200000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.769388e+01,-7.578865e+00,4.300000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.733456e+01,-7.647069e+00,4.400000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.698180e+01,-7.713999e+00,4.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.663627e+01,-7.779651e+00,4.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.629853e+01,-7.844042e+00,4.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.596903e+01,-7.907206e+00,4.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.564812e+01,-7.969192e+00,4.900000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.533610e+01,-8.030060e+00,5.000000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.503321e+01,-8.089882e+00,5.100000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.473962e+01,-8.148739e+00,5.200000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.445550e+01,-8.206717e+00,5.300000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.418098e+01,-8.263915e+00,5.400000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.391615e+01,-8.320434e+00,5.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.366113e+01,-8.376385e+00,5.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.341599e+01,-8.431884e+00,5.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.318083e+01,-8.487056e+00,5.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.295574e+01,-8.542033e+00,5.900000e-01
