x,u,t
0.000000e+00,0.000000e+00,0.000000e+00
4.701322e-11,-2.792452e-09,1.000000e-03
3.760850e-10,-1.135213e-08,2.000000e-03
1.269217e-09,-2.595247e-08,3.000000e-03
3.008348e-09,-4.686684e-08,4.000000e-03
5.875355e-09,-7.436855e-08,5.000000e-03
1.015205e-08,-1.087308e-07,6.000000e-03
1.612018e-08,-1.502268e-07,7.000000e-03
2.406144e-08,-1.991297e-07,8.000000e-03
3.425745e-08,-2.557124e-07,9.000000e-03
4.698976e-08,-3.202479e-07,1.000000e-02
4.698976e-08,-4.574093e-07,1.000000e-02
6.253980e-08,-5.589569e-07,1.100000e-02
8.118890e-08,-6.717402e-07,1.200000e-02
1.032184e-07,-7.960312e-07,1.300000e-02
1.289095e-07,-9.321018e-07,1.400000e-02
1.585435e-07,-1.080224e-06,1.500000e-02
1.924015e-07,-1.240669e-06,1.600000e-02
2.307646e-07,-1.413709e-06,1.700000e-02
2.739136e-07,-1.599616e-06,1.800000e-02
3.221296e-07,-1.798661e-06,1.900000e-02
3.756934e-07,-2.011115e-06,2.000000e-02
3.756934e-07,-2.558887e-06,2.000000e-02
4.348855e-07,-2.841094e-06,2.100000e-02
4.999863e-07,-3.139978e-06,2.200000e-02
5.712763e-07,-3.455810e-06,2.300000e-02
6.490361e-07,-3.788861e-06,2.400000e-02
7.335461e-07,-4.139400e-06,2.500000e-02
8.250867e-07,-4.507698e-06,2.600000e-02
9.239381e-07,-4.894024e-06,2.700000e-02
1.030381e-06,-5.298649e-06,2.800000e-02
1.144694e-06,-5.721842e-06,2.900000e-02
1.267159e-06,-6.163874e-06,3.000000e-02
1.267159e-06,-7.394000e-06,3.000000e-02
1.398054e-06,-7.938325e-06,3.100000e-02
1.537660e-06,-8.504740e-06,3.200000e-02
1.686255e-06,-9.093512e-06,3.300000e-02
1.844119e-06,-9.704909e-06,3.400000e-02
2.011532e-06,-1.033920e-05,3.500000e-02
2.188773e-06,-1.099665e-05,3.600000e-02
2.376122e-06,-1.167754e-05,3.700000e-02
2.573858e-06,-1.238212e-05,3.800000e-02
2.782260e-06,-1.311067e-05,3.900000e-02
3.001608e-06,-1.386345e-05,4.000000e-02
3.001608e-06,-1.604549e-05,4.000000e-02
3.232179e-06,-1.693287e-05,4.100000e-02
3.474252e-06,-1.784771e-05,4.200000e-02
3.728105e-06,-1.879029e-05,4.300000e-02
3.994017e-06,-1.976086e-05,4.400000e-02
4.272267e-06,-2.075969e-05,4.500000e-02
4.563132e-06,-2.178705e-05,4.600000e-02
4.866893e-06,-2.284321e-05,4.700000e-02
5.183826e-06,-2.392843e-05,4.800000e-02
5.514211e-06,-2.504298e-05,4.900000e-02
5.858325e-06,-2.618712e-05,5.000000e-02
5.858325e-06,-2.958806e-05,5.000000e-02
6.216445e-06,-3.089881e-05,5.100000e-02
6.588848e-06,-3.224237e-05,5.200000e-02
6.975811e-06,-3.361899e-05,5.300000e-02
7.377611e-06,-3.502894e-05,5.400000e-02
7.794527e-06,-3.647248e-05,5.500000e-02
8.226836e-06,-3.794988e-05,5.600000e-02
8.674815e-06,-3.946140e-05,5.700000e-02
9.138743e-06,-4.100730e-05,5.800000e-02
9.618895e-06,-4.258784e-05,5.900000e-02
1.011555e-05,-4.420330e-05,6.000000e-02
1.011555e-05,-4.908722e-05,6.000000e-02
1.062898e-05,-5.090100e-05,6.100000e-02
1.115946e-05,-5.275288e-05,6.200000e-02
1.170728e-05,-5.464310e-05,6.300000e-02
1.227269e-05,-5.657194e-05,6.400000e-02
1.285599e-05,-5.853966e-05,6.500000e-02
1.345744e-05,-6.054651e-05,6.600000e-02
1.407733e-05,-6.259277e-05,6.700000e-02
1.471593e-05,-6.467868e-05,6.800000e-02
1.537352e-05,-6.680452e-05,6.900000e-02
1.605037e-05,-6.897053e-05,7.000000e-02
1.605037e-05,-7.559840e-05,7.000000e-02
1.674675e-05,-7.799409e-05,7.100000e-02
1.746294e-05,-8.043313e-05,7.200000e-02
1.819922e-05,-8.291576e-05,7.300000e-02
1.895585e-05,-8.544224e-05,7.400000e-02
1.973312e-05,-8.801284e-05,7.500000e-02
2.053130e-05,-9.062780e-05,7.600000e-02
2.135066e-05,-9.328740e-05,7.700000e-02
2.219148e-05,-9.599188e-05,7.800000e-02
2.305404e-05,-9.874151e-05,7.900000e-02
2.393861e-05,-1.015365e-04,8.000000e-02
2.393861e-05,-1.101660e-04,8.000000e-02
2.484545e-05,-1.132217e-04,8.100000e-02
2.577485e-05,-1.163259e-04,8.200000e-02
2.672707e-05,-1.194789e-04,8.300000e-02
2.770239e-05,-1.226810e-04,8.400000e-02
2.870108e-05,-1.259323e-04,8.500000e-02
2.972342e-05,-1.292332e-04,8.600000e-02
3.076968e-05,-1.325839e-04,8.700000e-02
3.184014e-05,-1.359847e-04,8.800000e-02
3.293506e-05,-1.394358e-04,8.900000e-02
3.405472e-05,-1.429375e-04,9.000000e-02
3.405472e-05,-1.538227e-04,9.000000e-02
3.519940e-05,-1.576156e-04,9.100000e-02
3.636935e-05,-1.614622e-04,9.200000e-02
3.756485e-05,-1.653627e-04,9.300000e-02
3.878618e-05,-1.693173e-04,9.400000e-02
4.003360e-05,-1.733264e-04,9.500000e-02
4.130740e-05,-1.773902e-04,9.600000e-02
4.260783e-05,-1.815089e-04,9.700000e-02
4.393518e-05,-1.856828e-04,9.800000e-02
4.528971e-05,-1.899121e-04,9.900000e-02
4.667171e-05,-1.941971e-04,1.000000e-01
4.667171e-05,-2.075889e-04,1.000000e-01
4.808142e-05,-2.121953e-04,1.010000e-01
4.951913e-05,-2.168604e-04,1.020000e-01
5.098510e-05,-2.215846e-04,1.030000e-01
5.247960e-05,-2.263680e-04,1.040000e-01
5.400290e-05,-2.312109e-04,1.050000e-01
5.555528e-05,-2.361135e-04,1.060000e-01
