x,u,t
0.000000e+00,0.000000e+00,0.000000e+00
5.853462e-06,1.361195e-04,5.000000e-02
4.650736e-05,5.365461e-04,1.000000e-01
1.563491e-04,1.187314e-03,1.500000e-01
3.688736e-04,2.072161e-03,2.000000e-01
7.163342e-04,3.172767e-03,2.500000e-01
1.229733e-03,4.468809e-03,3.000000e-01
1.938922e-03,5.938209e-03,3.500000e-01
2.872488e-03,7.557153e-03,4.000000e-01
4.057240e-03,9.300755e-03,4.500000e-01
5.518161e-03,1.114314e-02,5.000000e-01
7.278360e-03,1.305775e-02,5.500000e-01
9.359433e-03,1.501692e-02,6.000000e-01
1.178112e-02,1.699245e-02,6.500000e-01
1.456092e-02,1.895642e-02,7.000000e-01
1.771411e-02,2.088116e-02,7.500000e-01
2.125374e-02,2.273931e-02,8.000000e-01
2.519070e-02,2.450461e-02,8.500000e-01
2.953424e-02,2.614985e-02,9.000000e-01
3.429156e-02,2.764857e-02,9.500000e-01
3.946756e-02,2.897596e-02,1.000000e+00
4.506492e-02,3.010888e-02,1.050000e+00
5.108403e-02,3.102586e-02,1.100000e+00
5.752305e-02,3.170711e-02,1.150000e+00
6.437800e-02,3.213462e-02,1.200000e+00
7.164394e-02,3.229229e-02,1.250000e+00
7.931346e-02,3.216377e-02,1.300000e+00
8.737735e-02,3.173476e-02,1.350000e+00
9.582488e-02,3.099347e-02,1.400000e+00
1.046439e-01,2.993060e-02,1.450000e+00
1.138206e-01,2.853934e-02,1.500000e+00
1.233397e-01,2.681538e-02,1.550000e+00
1.331847e-01,2.475690e-02,1.600000e+00
1.433372e-01,2.236459e-02,1.650000e+00
1.537799e-01,1.964030e-02,1.700000e+00
1.644934e-01,1.658675e-02,1.750000e+00
1.754556e-01,1.320911e-02,1.800000e+00
1.866444e-01,9.514461e-03,1.850000e+00
1.980377e-01,5.511818e-03,1.900000e+00
2.096130e-01,1.212093e-03,1.950000e+00
2.213480e-01,-3.371882e-03,2.000000e+00
2.332202e-01,-8.225364e-03,2.050000e+00
2.452073e-01,-1.333169e-02,2.100000e+00
2.572865e-01,-1.867230e-02,2.150000e+00
2.694353e-01,-2.422670e-02,2.200000e+00
2.816337e-01,-2.997615e-02,2.250000e+00
2.938625e-01,-3.590402e-02,2.300000e+00
