x,u,t
0.000000e+00,0.000000e+00,0.000000e+00
5.860783e-06,1.538898e-04,5.000000e-02
4.660995e-05,6.038236e-04,1.000000e-01
1.569042e-04,1.330322e-03,1.500000e-01
3.706841e-04,2.311942e-03,2.000000e-01
7.207923e-04,3.525586e-03,2.500000e-01
1.238965e-03,4.946523e-03,3.000000e-01
1.955852e-03,6.548641e-03,3.500000e-01
2.901089e-03,8.304344e-03,4.000000e-01
4.102650e-03,1.018530e-02,4.500000e-01
5.586744e-03,1.216261e-02,5.000000e-01
7.377766e-03,1.420695e-02,5.500000e-01
9.498432e-03,1.628865e-02,6.000000e-01
1.197000e-02,1.837727e-02,6.500000e-01
1.481153e-02,2.044292e-02,7.000000e-01
1.803979e-02,2.245638e-02,7.500000e-01
2.166928e-02,2.438914e-02,8.000000e-01
2.571219e-02,2.621359e-02,8.500000e-01
3.017863e-02,2.790335e-02,9.000000e-01
3.507719e-02,2.943126e-02,9.500000e-01
4.041410e-02,3.077184e-02,1.000000e+00
4.619324e-02,3.190157e-02,1.050000e+00
5.241610e-02,3.279895e-02,1.100000e+00
5.908175e-02,3.344447e-02,1.150000e+00
6.618689e-02,3.382062e-02,1.200000e+00
7.372595e-02,3.391197e-02,1.250000e+00
8.169239e-02,3.370528e-02,1.300000e+00
9.007719e-02,3.318736e-02,1.350000e+00
9.886934e-02,3.234707e-02,1.400000e+00
1.080562e-01,3.117590e-02,1.450000e+00
1.176236e-01,2.966798e-02,1.500000e+00
1.275557e-01,2.782001e-02,1.550000e+00
1.378350e-01,2.563133e-02,1.600000e+00
1.484425e-01,2.310387e-02,1.650000e+00
1.593575e-01,2.024221e-02,1.700000e+00
1.705583e-01,1.705325e-02,1.750000e+00
1.820252e-01,1.354354e-02,1.800000e+00
1.937338e-01,9.722398e-03,1.850000e+00
2.056586e-01,5.601400e-03,1.900000e+00
2.177742e-01,1.193797e-03,1.950000e+00
2.300552e-01,-3.485474e-03,2.000000e+00
2.424760e-01,-8.419794e-03,2.050000e+00
2.550115e-01,-1.359086e-02,2.100000e+00
2.676364e-01,-1.897867e-02,2.150000e+00
2.803254e-01,-2.456157e-02,2.200000e+00
2.930534e-01,-3.031619e-02,2.250000e+00
3.057954e-01,-3.621749e-02,2.300000e+00
3.185282e-01,-4.224135e-02,2.350000e+00
3.312336e-01,-4.836975e-02,2.400000e+00
3.438841e-01,-5.457422e-02,2.450000e+00
3.564530e-01,-6.082573e-02,2.500000e+00
3.689152e-01,-6.709595e-02,2.550000e+00
