x,u,t
0.000000e+00,0.000000e+00,0.000000e+00
5.792038e-06,-2.627563e-04,5.000000e-02
4.560748e-05,-1.040238e-03,1.000000e-01
1.516687e-04,-2.315122e-03,1.500000e-01
3.541392e-04,-4.068946e-03,2.000000e-01
6.810067e-04,-6.282356e-03,2.500000e-01
1.158086e-03,-8.935113e-03,3.000000e-01
1.809139e-03,-1.200624e-02,3.500000e-01
2.655968e-03,-1.547364e-02,4.000000e-01
3.718305e-03,-1.931473e-02,4.500000e-01
5.013799e-03,-2.350666e-02,5.000000e-01
6.558022e-03,-2.802630e-02,5.500000e-01
8.364474e-03,-3.285030e-02,6.000000e-01
1.044490e-02,-3.795600e-02,6.500000e-01
1.280904e-02,-4.331900e-02,7.000000e-01
1.546481e-02,-4.891455e-02,7.500000e-01
1.841845e-02,-5.471840e-02,8.000000e-01
2.167457e-02,-6.070682e-02,8.500000e-01
2.523611e-02,-6.685656e-02,9.000000e-01
2.910436e-02,-7.314489e-02,9.500000e-01
3.327894e-02,-7.954958e-02,1.000000e+00
3.775783e-02,-8.604890e-02,1.050000e+00
4.253735e-02,-9.262165e-02,1.100000e+00
4.761431e-02,-9.924784e-02,1.150000e+00
5.298347e-02,-1.059066e-01,1.200000e+00
5.863673e-02,-1.125769e-01,1.250000e+00
6.456536e-02,-1.192384e-01,1.300000e+00
7.076000e-02,-1.258722e-01,1.350000e+00
7.721065e-02,-1.324600e-01,1.400000e+00
8.390667e-02,-1.389848e-01,1.450000e+00
9.083678e-02,-1.454305e-01,1.500000e+00
9.798906e-02,-1.517822e-01,1.550000e+00
1.053510e-01,-1.580258e-01,1.600000e+00
1.129093e-01,-1.641483e-01,1.650000e+00
1.206503e-01,-1.701378e-01,1.700000e+00
1.285595e-01,-1.759834e-01,1.750000e+00
1.366246e-01,-1.816738e-01,1.800000e+00
1.448323e-01,-1.871979e-01,1.850000e+00
1.531649e-01,-1.925460e-01,1.900000e+00
1.616051e-01,-1.977096e-01,1.950000e+00
1.701362e-01,-2.026809e-01,2.000000e+00
1.787418e-01,-2.074528e-01,2.050000e+00
1.874059e-01,-2.120194e-01,2.100000e+00
1.961131e-01,-2.163754e-01,2.150000e+00
2.048483e-01,-2.205164e-01,2.200000e+00
2.135971e-01,-2.244388e-01,2.250000e+00
2.223453e-01,-2.281401e-01,2.300000e+00
2.310792e-01,-2.316182e-01,2.350000e+00
2.397856e-01,-2.348723e-01,2.400000e+00
2.484517e-01,-2.379023e-01,2.450000e+00
2.570653e-01,-2.407087e-01,2.500000e+00
2.656146e-01,-2.432928e-01,2.550000e+00
2.740882e-01,-2.456510e-01,2.600000e+00
2.824721e-01,-2.477855e-01,2.650000e+00
2.907527e-01,-2.496999e-01,2.700000e+00
2.989169e-01,-2.513984e-01,2.750000e+00
3.069527e-01,-2.528849e-01,2.800000e+00
3.148489e-01,-2.541638e-01,2.850000e+00
3.225952e-01,-2.552394e-01,2.900000e+00
3.301821e-01,-2.561165e-01,2.950000e+00
3.376009e-01,-2.567996e-01,3.000000e+00
3.448439e-01,-2.572937e-01,3.050000e+00
3.519042e-01,-2.576039e-01,3.100000e+00
3.587757e-01,-2.577353e-01,3.150000e+00
3.654532e-01,-2.576933e-01,3.200000e+00
3.719323e-01,-2.574833e-01,3.250000e+00
3.782096e-01,-2.571111e-01,3.300000e+00
3.842823e-01,-2.565825e-01,3.350000e+00
3.901486e-01,-2.559032e-01,3.400000e+00
3.958010e-01,-2.550783e-01,3.450000e+00
4.012348e-01,-2.541152e-01,3.500000e+00
4.064472e-01,-2.530221e-01,3.550000e+00
4.114363e-01,-2.518068e-01,3.600000e+00
4.162005e-01,-2.504769e-01,3.650000e+00
4.207387e-01,-2.490397e-01,3.700000e+00
4.250503e-01,-2.475021e-01,3.750000e+00
4.291352e-01,-2.458706e-01,3.800000e+00
4.329936e-01,-2.441516e-01,3.850000e+00
4.366263e-01,-2.423510e-01,3.900000e+00
4.400346e-01,-2.404745e-01,3.950000e+00
4.432202e-01,-2.385273e-01,4.000000e+00
4.461854e-01,-2.365146e-01,4.050000e+00
4.489328e-01,-2.344409e-01,4.100000e+00
4.514655e-01,-2.323107e-01,4.150000e+00
4.537852e-01,-2.301288e-01,4.200000e+00
4.558935e-01,-2.279015e-01,4.250000e+00
4.577945e-01,-2.256352e-01,4.300000e+00
4.594922e-01,-2.233355e-01,4.350000e+00
4.609906e-01,-2.210078e-01,4.400000e+00
4.622939e-01,-2.186571e-01,4.450000e+00
4.634063e-01,-2.162880e-01,4.500000e+00
4.643322e-01,-2.139045e-01,4.550000e+00
4.650757e-01,-2.115105e-01,4.600000e+00
4.656413e-01,-2.091092e-01,4.650000e+00
4.660335e-01,-2.067037e-01,4.700000e+00
4.662568e-01,-2.042965e-01,4.750000e+00
4.663158e-01,-2.018897e-01,4.800000e+00
4.662151e-01,-1.994850e-01,4.850000e+00
4.659594e-01,-1.970837e-01,4.900000e+00
4.655529e-01,-1.946880e-01,4.950000e+00
4.650001e-01,-1.923013e-01,5.000000e+00
4.643066e-01,-1.899260e-01,5.050000e+00
4.634777e-01,-1.875642e-01,5.100000e+00
4.625185e-01,-1.852178e-01,5.150000e+00
4.614342e-01,-1.828885e-01,5.200000e+00
4.602295e-01,-1.805775e-01,5.250000e+00
4.589092e-01,-1.782860e-01,5.300000e+00
4.574778e-01,-1.760146e-01,5.350000e+00
4.559396e-01,-1.737639e-01,5.400000e+00
4.542987e-01,-1.715342e-01,5.450000e+00
4.525593e-01,-1.693254e-01,5.500000e+00
4.507250e-01,-1.671371e-01,5.550000e+00
4.487997e-01,-1.649689e-01,5.600000e+00
4.467866e-01,-1.628198e-01,5.650000e+00
4.446883e-01,-1.606887e-01,5.700000e+00
4.425079e-01,-1.585754e-01,5.750000e+00
4.402500e-01,-1.564804e-01,5.800000e+00
4.379187e-01,-1.544039e-01,5.850000e+00
4.355181e-01,-1.523460e-01,5.900000e+00
4.330519e-01,-1.503067e-01,5.950000e+00
4.305237e-01,-1.482859e-01,6.000000e+00
4.279367e-01,-1.462830e-01,6.050000e+00
4.252942e-01,-1.442978e-01,6.100000e+00
4.225988e-01,-1.423296e-01,6.150000e+00
4.198534e-01,-1.403777e-01,6.200000e+00
4.170604e-01,-1.384410e-01,6.250000e+00
4.142218e-01,-1.365187e-01,6.300000e+00
4.113398e-01,-1.346095e-01,6.350000e+00
4.084161e-01,-1.327121e-01,6.400000e+00
4.054523e-01,-1.308251e-01,6.450000e+00
4.024496e-01,-1.289467e-01,6.500000e+00
3.994091e-01,-1.270753e-01,6.550000e+00
3.963318e-01,-1.252090e-01,6.600000e+00
3.932183e-01,-1.233457e-01,6.650000e+00
3.900689e-01,-1.214832e-01,6.700000e+00
3.868848e-01,-1.196203e-01,6.750000e+00
3.836684e-01,-1.177579e-01,6.800000e+00
3.804207e-01,-1.158958e-01,6.850000e+00
3.771430e-01,-1.140338e-01,6.900000e+00
3.738362e-01,-1.121714e-01,6.950000e+00
