x,u,t
0.000000e+00,0.000000e+00,0.000000e+00
5.860783e-06,1.554070e-04,5.000000e-02
4.661818e-05,6.156625e-04,1.000000e-01
1.569235e-04,1.369471e-03,1.500000e-01
3.707050e-04,2.402782e-03,2.000000e-01
7.208034e-04,3.698980e-03,2.500000e-01
1.238961e-03,5.238919e-03,3.000000e-01
1.955867e-03,7.001277e-03,3.500000e-01
2.901142e-03,8.962486e-03,4.000000e-01
4.102736e-03,1.109739e-02,4.500000e-01
5.586858e-03,1.337935e-02,5.000000e-01
7.377920e-03,1.578050e-02,5.500000e-01
9.498803e-03,1.827167e-02,6.000000e-01
1.197074e-02,2.082243e-02,6.500000e-01
1.481273e-02,2.340225e-02,7.000000e-01
1.804157e-02,2.598048e-02,7.500000e-01
2.167181e-02,2.852636e-02,8.000000e-01
2.571572e-02,3.100991e-02,8.500000e-01
3.018394e-02,3.340035e-02,9.000000e-01
3.508513e-02,3.566675e-02,9.500000e-01
4.042559e-02,3.777971e-02,1.000000e+00
4.620926e-02,3.971140e-02,1.050000e+00
5.243772e-02,4.143551e-02,1.100000e+00
5.911020e-02,4.292730e-02,1.150000e+00
6.622362e-02,4.416368e-02,1.200000e+00
7.377362e-02,4.512426e-02,1.250000e+00
8.175367e-02,4.578766e-02,1.300000e+00
9.015515e-02,4.613416e-02,1.350000e+00
9.896780e-02,4.614682e-02,1.400000e+00
1.081797e-01,4.581150e-02,1.450000e+00
1.177771e-01,4.511687e-02,1.500000e+00
1.277449e-01,4.405436e-02,1.550000e+00
1.380660e-01,4.261822e-02,1.600000e+00
1.487217e-01,4.080547e-02,1.650000e+00
1.596928e-01,3.861565e-02,1.700000e+00
1.709607e-01,3.604873e-02,1.750000e+00
1.825028e-01,3.310662e-02,1.800000e+00
1.942956e-01,2.979368e-02,1.850000e+00
2.063155e-01,2.611668e-02,1.900000e+00
2.185390e-01,2.208486e-02,1.950000e+00
2.309420e-01,1.770986e-02,2.000000e+00
2.435008e-01,1.300574e-02,2.050000e+00
