lambda,alpha,G1,J1,G2,J2
2.000000e-02,7.502500e+00,1.934110e-02,3.746072e-02,1.414214e+00,3.873629e+00
4.000000e-02,5.005000e+00,4.345952e-02,6.875156e-02,1.414214e+00,3.163858e+00
6.000000e-02,6.883003e+00,2.297932e-02,4.263035e-02,1.414214e+00,3.710257e+00
8.000000e-02,5.005000e+00,4.345952e-02,6.875156e-02,1.414214e+00,3.163858e+00
1.000000e-01,8.751250e+00,1.421520e-02,2.973576e-02,1.414214e+00,4.183599e+00
1.200000e-01,5.708032e+00,3.341338e-02,5.644619e-02,1.414214e+00,3.378767e+00
1.400000e-01,3.594669e+00,8.425106e-02,1.129471e-01,1.414214e+00,2.681347e+00
1.600000e-01,4.226360e+00,6.094808e-02,8.859790e-02,1.414214e+00,2.907407e+00
1.800000e-01,7.580547e+00,1.894489e-02,3.688368e-02,1.414214e+00,3.893725e+00
2.000000e-01,5.946440e+00,3.078782e-02,5.308862e-02,1.414214e+00,3.448606e+00
2.200000e-01,7.522012e+00,1.924089e-02,3.731506e-02,1.414214e+00,3.878663e+00
2.400000e-01,6.253445e+00,2.783634e-02,4.922388e-02,1.414214e+00,3.536594e+00
2.600000e-01,2.839199e+00,1.350521e-01,1.609209e-01,1.414214e+00,2.382905e+00
2.800000e-01,6.096437e+00,2.929146e-02,5.114141e-02,1.414214e+00,3.491830e+00
3.000000e-01,2.497744e+00,1.745007e-01,1.949898e-01,1.414214e+00,2.235164e+00
3.200000e-01,3.600156e+00,8.399442e-02,1.127053e-01,1.414214e+00,2.683182e+00
3.400000e-01,3.580645e+00,8.491232e-02,1.136141e-01,1.414214e+00,2.676178e+00
3.600000e-01,6.692764e+00,2.430424e-02,4.446085e-02,1.414214e+00,3.658624e+00
3.800000e-01,7.541523e+00,1.914145e-02,3.717034e-02,1.414214e+00,3.883690e+00
4.000000e-01,7.497622e+00,1.936627e-02,3.749729e-02,1.414214e+00,3.872369e+00
4.200000e-01,7.034219e+00,2.200196e-02,4.126310e-02,1.414214e+00,3.750792e+00
4.400000e-01,1.892881e+00,3.038411e-01,2.955256e-01,1.414214e+00,1.945681e+00
4.600000e-01,2.819687e+00,1.369277e-01,1.625665e-01,1.414214e+00,2.374874e+00
4.800000e-01,4.975732e+00,4.397229e-02,6.935829e-02,1.414214e+00,3.154528e+00
5.000000e-01,2.507500e+00,1.731455e-01,1.938801e-01,1.414214e+00,2.239391e+00
5.200000e-01,6.900076e+00,2.286575e-02,4.247222e-02,1.414214e+00,3.714855e+00
5.400000e-01,4.536719e+00,5.289436e-02,7.966660e-02,1.414214e+00,3.012250e+00
5.600000e-01,2.830053e+00,1.359264e-01,1.616899e-01,1.414214e+00,2.379180e+00
5.800000e-01,4.634277e+00,5.069079e-02,7.716057e-02,1.414214e+00,3.044394e+00
6.000000e-01,3.756250e+00,7.715856e-02,1.057362e-01,1.414214e+00,2.740772e+00
6.200000e-01,5.473281e+00,3.634106e-02,6.011961e-02,1.414214e+00,3.308559e+00
6.400000e-01,3.136753e+00,1.106452e-01,1.385531e-01,1.414214e+00,2.504690e+00
6.600000e-01,3.912039e+00,7.114665e-02,9.949340e-02,1.414214e+00,2.797019e+00
6.800000e-01,3.758689e+00,7.705846e-02,1.056504e-01,1.414214e+00,2.741772e+00
7.000000e-01,1.551426e+00,4.523047e-01,3.983648e-01,1.414214e+00,1.761379e+00
7.200000e-01,9.855859e-01,1.120738e+00,7.866363e-01,1.414214e+00,1.403890e+00
7.400000e-01,2.190739e+00,2.268990e-01,2.374396e-01,1.414214e+00,2.093137e+00
7.600000e-01,6.857394e+00,2.315139e-02,4.286960e-02,1.414214e+00,3.703348e+00
7.800000e-01,1.961172e+00,2.830491e-01,2.802902e-01,1.414214e+00,1.980252e+00
8.000000e-01,5.630594e+00,3.433876e-02,5.761773e-02,1.414214e+00,3.355770e+00
8.200000e-01,2.722129e+00,1.469182e-01,1.713844e-01,1.414214e+00,2.333284e+00
8.400000e-01,1.922148e+00,2.946587e-01,2.888859e-01,1.414214e+00,1.960908e+00
8.600000e-01,1.727031e+00,3.649999e-01,3.391345e-01,1.414214e+00,1.858680e+00
8.800000e-01,2.815114e+00,1.374026e-01,1.630119e-01,1.414214e+00,2.372574e+00
9.000000e-01,1.562401e+00,4.459725e-01,3.941224e-01,1.414214e+00,1.767792e+00
9.200000e-01,2.551401e+00,1.672382e-01,1.888878e-01,1.414214e+00,2.258881e+00
9.400000e-01,5.000122e+00,4.354436e-02,6.884975e-02,1.414214e+00,3.162364e+00
9.600000e-01,1.258750e+00,6.870908e-01,5.451278e-01,1.414214e+00,1.586599e+00
9.800000e-01,7.941272e-01,1.726287e+00,1.087767e+00,1.414214e+00,1.260387e+00
