alpha_l,J1,J2
2.000000e-02,4.847311e-02,2.375183e+00
4.000000e-02,8.279222e-02,1.987013e+00
6.000000e-02,1.140028e-01,1.786044e+00
8.000000e-02,1.437555e-01,1.653189e+00
1.000000e-01,1.727691e-01,1.554922e+00
1.200000e-01,2.014521e-01,1.477316e+00
1.400000e-01,2.300754e-01,1.413320e+00
1.600000e-01,2.588383e-01,1.358901e+00
1.800000e-01,2.879002e-01,1.311545e+00
2.000000e-01,3.173971e-01,1.269588e+00
2.200000e-01,3.474514e-01,1.231873e+00
2.400000e-01,3.781780e-01,1.197564e+00
2.600000e-01,4.096889e-01,1.166038e+00
2.800000e-01,4.420965e-01,1.136820e+00
3.000000e-01,4.755163e-01,1.109538e+00
3.200000e-01,5.100688e-01,1.083896e+00
3.400000e-01,5.458825e-01,1.059654e+00
3.600000e-01,5.830957e-01,1.036615e+00
3.800000e-01,6.218590e-01,1.014612e+00
4.000000e-01,6.623378e-01,9.935067e-01
4.200000e-01,7.047157e-01,9.731788e-01
4.400000e-01,7.491977e-01,9.535244e-01
4.600000e-01,7.960146e-01,9.344519e-01
4.800000e-01,8.454275e-01,9.158798e-01
5.000000e-01,8.977346e-01,8.977346e-01
5.200000e-01,9.532780e-01,8.799489e-01
5.400000e-01,1.012453e+00,8.624601e-01
5.600000e-01,1.075721e+00,8.452090e-01
5.800000e-01,1.143621e+00,8.281391e-01
6.000000e-01,1.216792e+00,8.111948e-01
6.200000e-01,1.295997e+00,7.943208e-01
6.400000e-01,1.382153e+00,7.774610e-01
6.600000e-01,1.476375e+00,7.605569e-01
6.800000e-01,1.580037e+00,7.435467e-01
7.000000e-01,1.694847e+00,7.263631e-01
7.200000e-01,1.822967e+00,7.089316e-01
7.400000e-01,1.967169e+00,6.911676e-01
7.600000e-01,2.131080e+00,6.729726e-01
7.800000e-01,2.319540e+00,6.542293e-01
8.000000e-01,2.539177e+00,6.347942e-01
8.200000e-01,2.799329e+00,6.144869e-01
8.400000e-01,3.113633e+00,5.930730e-01
8.600000e-01,3.502884e+00,5.702370e-01
8.800000e-01,4.000590e+00,5.455350e-01
9.000000e-01,4.664766e+00,5.183073e-01
9.200000e-01,5.606236e+00,4.874988e-01
9.400000e-01,7.069365e+00,4.512361e-01
9.600000e-01,9.734338e+00,4.055974e-01
9.800000e-01,1.662628e+01,3.393118e-01
