alpha_l,J1,J2,G1,G2
2.000000e-02,3.402251e-01,1.669095e+01,-9.231404e+01,-1.427310e+01
4.000000e-02,4.080627e-01,9.793622e+00,-3.994545e+01,-8.941606e+00
6.000000e-02,4.554629e-01,7.135648e+00,-2.549684e+01,-7.142232e+00
8.000000e-02,4.937592e-01,5.678230e+00,-1.827850e+01,-6.046269e+00
1.000000e-01,5.268661e-01,4.741802e+00,-1.395681e+01,-5.283461e+00
1.200000e-01,5.566636e-01,4.082200e+00,-1.107827e+01,-4.707016e+00
1.400000e-01,5.842189e-01,3.588774e+00,-9.025696e+00,-4.248694e+00
1.600000e-01,6.102093e-01,3.203599e+00,-7.489362e+00,-3.870245e+00
1.800000e-01,6.351000e-01,2.893234e+00,-6.297412e+00,-3.548822e+00
2.000000e-01,6.592327e-01,2.636931e+00,-5.347406e+00,-3.270297e+00
2.200000e-01,6.828718e-01,2.421091e+00,-4.573251e+00,-3.024347e+00
2.400000e-01,7.062328e-01,2.236404e+00,-3.931643e+00,-2.804156e+00
2.600000e-01,7.294988e-01,2.076266e+00,-3.392363e+00,-2.604749e+00
2.800000e-01,7.528323e-01,1.935854e+00,-2.933953e+00,-2.422374e+00
3.000000e-01,7.763823e-01,1.811559e+00,-2.540815e+00,-2.254244e+00
3.200000e-01,8.002905e-01,1.700617e+00,-2.201177e+00,-2.098178e+00
3.400000e-01,8.246951e-01,1.600879e+00,-1.906175e+00,-1.952531e+00
3.600000e-01,8.497336e-01,1.510638e+00,-1.648946e+00,-1.816009e+00
3.800000e-01,8.755457e-01,1.428522e+00,-1.424130e+00,-1.687670e+00
4.000000e-01,9.022747e-01,1.353412e+00,-1.227419e+00,-1.566792e+00
4.200000e-01,9.300691e-01,1.284381e+00,-1.055348e+00,-1.452820e+00
4.400000e-01,9.590837e-01,1.220652e+00,-9.050405e-01,-1.345440e+00
4.600000e-01,9.894806e-01,1.161564e+00,-7.740023e-01,-1.244192e+00
4.800000e-01,1.021431e+00,1.106550e+00,-6.601491e-01,-1.149045e+00
5.000000e-01,1.055116e+00,1.055116e+00,-5.615530e-01,-1.059766e+00
5.200000e-01,1.090730e+00,1.006828e+00,-4.764625e-01,-9.761781e-01
5.400000e-01,1.128486e+00,9.613029e-01,-4.032765e-01,-8.980825e-01
5.600000e-01,1.168617e+00,9.181993e-01,-3.405141e-01,-8.252407e-01
5.800000e-01,1.211387e+00,8.772116e-01,-2.868252e-01,-7.573941e-01
6.000000e-01,1.257098e+00,8.380655e-01,-2.409808e-01,-6.942335e-01
6.200000e-01,1.306101e+00,8.005136e-01,-2.018893e-01,-6.354379e-01
6.400000e-01,1.358811e+00,7.643314e-01,-1.685900e-01,-5.806718e-01
6.600000e-01,1.415727e+00,7.293139e-01,-1.402483e-01,-5.296137e-01
6.800000e-01,1.477453e+00,6.952719e-01,-1.161333e-01,-4.819533e-01
7.000000e-01,1.544733e+00,6.620282e-01,-9.565093e-02,-4.373707e-01
7.200000e-01,1.618494e+00,6.294144e-01,-7.826220e-02,-3.955981e-01
7.400000e-01,1.699912e+00,5.972662e-01,-6.350681e-02,-3.563888e-01
7.600000e-01,1.790495e+00,5.654196e-01,-5.104061e-02,-3.195009e-01
7.800000e-01,1.892227e+00,5.337051e-01,-4.053503e-02,-2.847269e-01
8.000000e-01,2.007765e+00,5.019413e-01,-3.172478e-02,-2.518831e-01
8.200000e-01,2.140773e+00,4.699258e-01,-2.437654e-02,-2.207975e-01
8.400000e-01,2.296466e+00,4.374220e-01,-1.830182e-02,-1.913223e-01
8.600000e-01,2.482574e+00,4.041399e-01,-1.333754e-02,-1.633236e-01
8.800000e-01,2.711154e+00,3.697029e-01,-9.341353e-03,-1.366811e-01
9.000000e-01,3.002312e+00,3.335902e-01,-6.191737e-03,-1.112815e-01
9.200000e-01,3.392766e+00,2.950232e-01,-3.787520e-03,-8.703848e-02
9.400000e-01,3.959122e+00,2.527099e-01,-2.039260e-03,-6.386258e-02
9.600000e-01,4.899511e+00,2.041463e-01,-8.684506e-04,-4.167579e-02
9.800000e-01,7.000182e+00,1.428609e-01,-2.121050e-04,-2.041249e-02
