tticks,x1ticks,x2ticks,x3ticks,uticks
0.000000e+00,8.333904e-02,-2.084764e-01,3.590931e-02,-5.000528e+00
1.000000e-02,3.707140e-01,-5.986335e-02,-1.144740e-01,-5.096397e+00
2.000000e-02,7.756126e-02,-1.614939e-02,-9.111768e-02,-5.064934e+00
3.000000e-02,3.343232e-01,3.160481e-02,5.931131e-02,-5.305092e+00
4.000000e-02,5.254683e-01,-3.117632e-02,-1.146069e-01,-5.202988e+00
5.000000e-02,2.838994e-01,7.112996e-02,-1.407359e-01,-5.248994e+00
6.000000e-02,3.494063e-01,4.452704e-02,-2.192906e-01,-5.250655e+00
7.000000e-02,3.682097e-01,2.162778e-01,-3.634386e-01,-4.987461e+00
8.000000e-02,2.636398e-01,-1.048920e-01,-3.058499e-01,-4.950038e+00
9.000000e-02,3.834167e-01,2.437674e-02,-3.441385e-01,-5.041049e+00
1.000000e-01,2.641195e-01,-1.222653e-02,-2.715439e-01,-5.096755e+00
1.100000e-01,3.896985e-01,1.509902e-01,-2.830427e-01,-4.861412e+00
1.200000e-01,2.022910e-01,7.802401e-02,-3.354845e-01,-4.749570e+00
1.300000e-01,3.093790e-01,1.045667e-01,-2.616225e-01,-4.826171e+00
1.400000e-01,2.735149e-01,1.217372e-02,-3.857879e-01,-4.941718e+00
1.500000e-01,2.249642e-01,1.138397e-01,-3.427929e-01,-4.866135e+00
1.600000e-01,3.118749e-01,1.740543e-01,-4.671571e-01,-4.711457e+00
1.700000e-01,1.558621e-01,-4.877688e-02,-4.917779e-01,-4.735154e+00
1.800000e-01,1.394484e-01,-7.107580e-02,-4.350572e-01,-4.597494e+00
1.900000e-01,1.582846e-01,2.478136e-02,-3.345089e-01,-4.756375e+00
2.000000e-01,2.234449e-01,-5.266270e-02,-4.079209e-01,-4.462010e+00
2.100000e-01,3.881938e-01,1.376003e-01,-4.071072e-01,-4.601353e+00
2.200000e-01,3.090566e-01,-1.472416e-02,-5.166350e-01,-4.600211e+00
2.300000e-01,4.289864e-01,-9.950084e-02,-5.223789e-01,-4.602745e+00
2.400000e-01,4.029988e-01,1.702131e-02,-4.035961e-01,-4.355559e+00
